month,region,customer_segment,marketing_spend,sales,revenue,churn_risk,satisfaction_score,support_tickets
2025-01,North,Enterprise,42000,310,186000,0.12,8.7,18
2025-01,South,SMB,18000,145,52200,0.24,7.3,31
2025-02,North,Enterprise,46000,334,203000,0.10,8.9,15
2025-02,West,Mid-Market,28000,202,101000,0.18,8.0,22
2025-03,South,SMB,21000,158,58460,0.27,7.0,35
2025-03,East,Enterprise,51000,371,231000,0.09,9.1,14
2025-04,West,Mid-Market,32000,224,119400,0.16,8.2,20
2025-04,North,SMB,25000,183,71370,0.21,7.6,27
2025-05,East,Enterprise,54000,392,254800,0.08,9.2,13
2025-05,South,Mid-Market,30000,209,111800,0.17,8.0,23
2025-06,West,SMB,26000,176,68640,0.23,7.4,29
2025-06,North,Enterprise,59000,421,282070,0.07,9.3,11
2025-07,East,Mid-Market,34000,238,129710,0.14,8.4,18
2025-07,South,SMB,24000,164,62320,0.28,6.9,38
2025-08,West,Enterprise,61000,438,298000,0.06,9.4,10
2025-08,North,Mid-Market,36000,249,137200,0.13,8.5,17
